OBJECTID,Statistical area 2 (SA2) 2023 code,Statistical area 2 (SA2) 2023 name,Statistical area 2 (SA2) 2023 name no macrons,"Subject pop: Census usually resident population, Year: 2013, Measure: Count, Var1: Census usually resident population (Total)","Subject pop: Census usually resident population, Year: 2018, Measure: Count, Var1: Census usually resident population (Total)","Subject pop: Census usually resident population, Year: 2023, Measure: Count, Var1: Census usually resident population (Total)","Subject pop: Census usually resident population, Year: Change 2013-2018, Measure: Percent, Var1: Census usually resident population (Total)","Subject pop: Census usually resident population, Year: Change 2018-2023, Measure: Percent, Var1: Census usually resident population (Total)",Area square kilometres,Land area square kilometres,Shape__Area,Shape__Length
2103,120202,Hobsonville Point Park,Hobsonville Point Park,642,2106,5562,228,164.1,1.03384572,1.03384572,1033988.839,6576.909403
2104,120201,Hobsonville Point Catalina Bay,Hobsonville Point Catalina Bay,66,1539,3483,2231.8,126.3,1.10356374,1.10356374,1103389.032,5603.855978
2105,120101,Birdwood West,Birdwood West,702,720,819,2.6,13.8,6.23735435,6.23735435,6237352.168,15762.63695
2106,120000,Murrays Bay East,Murrays Bay East,2142,2136,2238,-0.3,4.8,0.69795595,0.69795595,697707.3027,4374.260361
2107,119901,Unsworth Heights West,Unsworth Heights West,2625,2634,2631,0.3,-0.1,0.82196665,0.82196665,821872.7227,5034.082571
2108,119800,West Harbour West,West Harbour West,4113,4332,4230,5.3,-2.4,1.92726583,1.92726583,1927257.72,6740.495541
2109,119700,Windsor Park,Windsor Park,1614,1683,1713,4.3,1.8,0.83550299,0.83550299,835649.1475,4399.30726
2110,119600,Westgate South,Westgate South,1569,1770,3042,12.8,71.9,1.70943738,1.70943738,1709589.44,6899.460116
2111,119500,Murrays Bay West,Murrays Bay West,2562,2628,2634,2.6,0.2,0.95731875,0.95731875,957305.4492,4553.365399
2112,119400,Greenhithe South,Greenhithe South,1413,1998,2124,41.4,6.3,3.64438231,3.64438231,3644383.599,13084.24902
2113,119301,Inlet Waitemata Harbour,Inlet Waitemata Harbour,21,84,3,300,-96.4,0.05712604,0.05712604,57094.83203,1424.554447
2114,119201,Hobsonville,Hobsonville,882,1281,1827,45.2,42.6,2.89986904,2.89986904,2899786.004,11973.40392
2115,119100,Greenhithe East,Greenhithe East,2787,3093,3219,11,4.1,1.4399861,1.4399861,1439940.697,7919.633071
2116,119000,Rothesay Bay,Rothesay Bay,2706,2886,2892,6.7,0.2,0.86492686,0.86492686,865087.0879,5275.124756
2117,118900,Greenhithe West,Greenhithe West,3483,3501,3567,0.5,1.9,2.72133515,2.72133515,2721443.26,10692.12138
2118,118800,Westgate Central,Westgate Central,78,42,15,-46.2,-64.3,1.86366221,1.86366221,1863532.832,6191.629581
2119,118700,Browns Bay South East,Browns Bay South East,2745,2931,2955,6.8,0.8,0.85598227,0.85598227,856046.0615,4406.8381
2120,118600,North Harbour,North Harbour,564,816,738,44.7,-9.6,5.48725735,5.48725735,5487256.301,13710.29131
